Frame Roll Pitch Yaw
0 3.76596 4.57936 10.9693
1 2.55593 5.75443 11.3005
2 3.40798 6.48219 11.2729
3 2.87579 5.69154 9.20769
4 3.23475 4.29413 8.47174
5 2.47942 4.88823 1.88086
6 3.61937 5.10606 3.30023
7 3.48958 3.53698 2.83484
8 3.37262 3.44953 4.054
9 2.40841 3.20847 2.6772
10 3.40884 3.79998 -0.761021
11 3.78833 4.72584 -0.725155
12 3.47414 5.93332 -2.25667
13 2.79751 7.50396 -5.36186
14 2.77611 5.10723 -12.508
15 0.416935 5.89497 -12.9156
16 0.909419 5.69457 -17.6896
17 1.32258 5.62552 -15.8138
18 0.342126 4.99291 -16.1531
19 0.0568128 4.46868 -15.3286
20 0.280023 0.945127 -4.91035
21 4.885 3.5076 3.31726
22 -3.1335 0.467677 -5.03827
23 -2.25587 0.114812 -4.05687
24 3.08551 1.11049 1.87488
25 4.65565 3.19102 3.48522
26 4.70517 5.50406 6.35554
27 3.82098 5.01449 -0.0245733
28 3.48907 6.10398 -0.9299
29 4.94169 4.49075 -2.12745
30 3.66397 4.00024 -4.04371
31 3.52325 3.75169 -7.04786
32 3.62572 4.03942 -4.89056
33 3.53665 5.03641 -3.04463
34 4.35078 4.26405 0.0795631
35 3.96132 4.41922 2.50298
36 3.65601 4.08947 2.17179
37 2.532 4.20342 1.61995
38 2.73997 3.50211 -2.05614
39 1.90551 3.02132 -4.01148
40 1.73006 3.97125 -7.17742
41 2.48135 3.97488 -14.6046
42 3.40296 4.52938 -15.8224
43 2.31378 3.41338 -20.1778
44 2.62524 3.83421 -22.8649
45 1.59739 1.84207 -22.0531
46 2.12551 3.03094 -25.8126
47 2.74149 2.0103 -28.1962
48 2.30768 0.814429 -24.697
49 2.97991 -0.0275875 -30.4907
50 1.52827 3.39349 -1.13531
51 2.61039 2.41806 -0.870142
52 2.87466 3.59381 -0.982451
53 1.67015 3.67373 -0.620164
54 2.17739 4.11638 -1.28748
55 1.69503 3.96856 -2.33195
56 1.73267 3.51716 -2.40196
57 1.9727 3.7531 -2.44264
58 0.93896 2.63974 -2.96637
59 2.02918 2.18187 -3.15203
60 1.34061 2.16793 -3.05119
61 0.891558 1.7662 -3.07836
62 2.9446 2.9952 -3.51945
63 -0.199294 2.79263 -3.77062
64 3.35259 2.16106 -2.77832
65 0.409612 1.59523 -3.2611
66 2.37008 2.33789 -2.23243
67 2.33849 1.90753 -2.10213
68 1.7775 1.56057 -4.70319
69 1.66738 1.36783 -3.00691
70 1.80308 1.58334 -1.12146
71 1.57755 2.19991 -2.71917
72 3.21491 2.80008 -1.99149
73 1.90524 1.9362 -4.40479
74 1.98946 2.8271 -0.262279
75 1.91071 3.6424 -1.05637
76 1.76643 2.32883 -2.16292
77 2.10635 3.68203 -1.91725
78 2.13042 1.72537 -0.825902
79 1.10677 1.63633 -1.87408
80 1.54345 0.928985 -2.28087
81 1.73826 2.0934 -0.548251
82 2.34132 1.1105 -0.440992
83 1.58758 2.20543 0.897791
84 1.95084 3.79479 -0.360366
85 0.922625 2.71683 -1.45565
86 1.93119 2.4695 -0.14277
87 0.971743 3.98453 -0.296292
88 0.945143 3.70733 -0.506864
89 2.46947 3.56597 0.403554
90 2.02115 2.25108 -2.35744
91 2.97606 3.16154 0.287026
92 1.82027 2.39227 -1.4694
93 2.13588 1.20543 -2.07724
94 1.58211 1.33895 -3.63161
95 1.63613 1.68662 -2.06055
96 1.00938 2.19979 -2.97957
97 0.625245 2.13928 -2.66304
98 2.18428 2.06025 -4.14015
99 1.33386 1.42599 -4.06129
100 0.652984 1.53869 -1.85039
