Frame Roll Pitch Yaw
0 266 161 227 164
1 266 160 227 164
2 266 160 227 164
3 267 160 228 164
4 267 160 228 163
5 267 160 229 163
6 268 160 229 164
7 268 161 229 164
8 267 161 229 165
9 267 161 229 165
10 268 161 229 165
11 268 161 230 164
12 269 160 231 164
13 269 160 231 163
14 270 159 231 163
15 270 159 232 162
16 271 159 232 162
17 271 159 233 163
18 272 158 233 162
19 273 158 234 162
20 273 158 235 162
21 273 157 235 161
22 273 158 236 162
23 274 158 236 162
24 275 157 236 161
25 275 158 237 162
26 276 158 237 163
27 277 158 238 162
28 277 159 238 163
29 278 159 239 163
30 278 159 239 163
31 278 159 239 163
32 278 159 239 163
33 278 159 239 163
34 278 160 238 164
35 277 160 238 164
36 277 160 238 164
37 278 161 238 165
38 278 161 239 165
39 278 161 239 165
40 279 161 240 165
41 280 161 240 165
42 280 161 241 165
43 281 161 241 165
44 281 162 242 165
45 282 162 242 165
46 282 162 242 165
47 283 162 243 165
48 283 162 243 165
49 283 162 243 165
50 283 162 243 165
51 283 161 243 165
52 284 161 244 164
53 284 161 244 164
54 284 161 245 163
55 285 161 245 164
56 285 161 245 163
57 285 161 245 164
58 285 161 246 164
59 286 162 245 164
60 286 162 246 165
61 286 163 246 166
62 286 163 246 166
63 286 163 246 166
64 286 164 246 166
65 286 164 246 166
66 286 164 246 167
67 286 164 246 167
68 286 165 246 167
69 286 164 246 167
70 286 164 246 167
71 286 164 246 167
72 286 164 247 167
73 287 164 247 167
74 287 164 247 167
75 287 164 247 167
76 287 164 248 167
77 287 164 248 167
78 287 164 248 167
79 288 164 248 167
80 288 165 248 167
81 288 164 248 167
82 288 164 248 167
83 288 164 249 167
84 288 165 249 167
85 288 164 248 167
86 288 165 249 167
87 288 164 249 166
88 288 164 248 167
89 288 164 248 167
90 288 164 248 166
91 288 165 248 167
92 287 164 248 167
93 288 165 248 167
94 288 165 248 167
95 287 165 248 168
96 287 165 248 168
97 287 165 247 167
98 287 165 248 167
99 287 165 247 167
100 287 165 248 167
101 287 165 248 168
102 287 165 248 168
103 287 165 247 168
104 287 165 247 168
105 288 165 247 168
106 287 165 248 167
107 287 165 247 168
108 287 165 247 168
109 287 165 247 168
110 287 165 247 168
111 286 165 246 168
112 286 165 245 168
113 284 166 244 169
114 283 166 243 169
115 282 166 242 169
116 281 166 241 169
117 280 166 240 170
118 280 166 239 169
119 279 166 238 170
120 278 166 238 169
121 277 166 237 169
122 277 166 237 169
123 277 166 236 170
124 276 166 236 170
125 275 166 235 169
126 275 166 235 170
127 275 166 234 170
128 274 166 234 170
129 274 166 234 170
130 274 166 234 170
131 274 166 233 171
132 273 166 233 170
133 273 166 233 170
134 273 166 233 170
135 273 166 233 170
136 273 166 233 171
137 273 166 233 170
138 273 166 233 170
139 273 166 233 170
140 273 166 233 170
141 274 166 233 170
142 273 166 233 170
143 273 166 233 170
144 273 166 233 170
145 273 166 233 171
146 273 166 233 171
147 273 166 233 171
148 274 166 233 171
149 273 166 234 171
150 274 167 233 171
151 274 167 234 171
152 274 166 234 171
153 274 166 234 171
154 274 167 234 171
155 274 166 234 171
156 274 166 234 171
157 274 167 234 171
158 274 167 234 171
159 274 167 234 171
160 274 166 234 171
161 274 166 234 171
162 274 167 234 171
163 274 167 234 171
164 274 167 234 171
165 274 167 234 171
166 274 167 234 171
167 274 167 233 171
168 274 166 234 171
169 274 167 234 171
170 274 167 233 171
171 274 167 234 171
172 274 167 234 171
173 274 167 234 171
174 274 167 234 171
175 274 167 234 171
176 274 167 234 171
177 274 166 234 171
178 274 167 234 171
179 274 167 234 171
180 274 167 234 171
181 274 167 234 171
182 275 167 234 171
183 275 167 234 171
184 275 167 234 171
185 275 167 234 172
186 275 167 235 171
187 275 167 234 171
188 275 167 234 171
189 275 167 234 171
190 275 167 234 171
191 275 167 234 171
192 275 167 234 171
193 275 167 234 171
194 274 167 234 171
195 274 167 234 171
196 274 167 234 171
197 274 167 234 171
198 274 167 234 171
199 274 167 234 171
200 274 167 234 171
201 274 167 234 171
202 274 167 233 171
203 274 167 233 171
204 274 167 233 171
205 274 167 234 171
206 274 167 233 171
207 274 167 233 171
208 273 166 233 171
209 273 167 233 171
210 273 166 233 171
211 273 167 233 171
212 273 166 233 171
213 273 166 232 171
214 273 167 233 171
215 273 166 232 171
216 273 167 232 171
217 273 167 232 171
218 272 167 232 171
219 272 167 232 171
220 272 167 231 171
221 272 167 231 171
222 271 167 231 172
223 271 167 231 171
224 271 167 231 171
225 271 167 230 171
226 271 167 230 171
227 271 167 230 171
228 271 167 230 171
229 270 167 230 171
230 270 167 230 171
231 270 167 230 171
232 270 167 230 171
233 270 167 230 171
234 270 166 230 171
235 270 167 230 171
236 270 166 230 171
237 270 167 230 171
238 270 167 230 171
239 270 167 230 171
240 270 166 230 171
241 270 166 230 171
242 270 166 230 171
243 270 166 230 171
244 270 166 230 171
245 270 167 230 171
246 270 166 230 171
247 270 166 230 170
248 270 166 230 171
249 270 166 230 171
250 270 167 230 171
251 270 166 230 171
252 270 166 230 171
253 270 166 231 171
254 270 167 230 171
255 270 166 230 171
256 270 166 230 171
257 270 167 230 171
258 270 167 230 171
259 270 167 230 171
260 270 167 230 171
261 270 167 230 171
262 270 167 230 171
263 270 166 230 171
